"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2021","7.80","7.96","8.09","7.60","93.77M","-2.99%"
"Nov 29, 2021","8.04","8.19","8.47","7.98","85.24M","-0.25%"
"Nov 26, 2021","8.06","8.48","8.57","8.03","63.46M","-7.36%"
"Nov 25, 2021","8.70","8.84","9.04","8.61","58.78M","-1.36%"
"Nov 24, 2021","8.82","8.50","9.01","8.45","79.04M","2.56%"
"Nov 23, 2021","8.60","9.00","9.05","8.47","84.97M","-2.71%"
"Nov 22, 2021","8.84","9.40","9.68","8.81","68.03M","-4.64%"
"Nov 19, 2021","9.27","9.05","9.87","8.94","93.51M","3.11%"
"Nov 18, 2021","8.99","9.36","9.60","8.99","76.65M","-3.02%"
"Nov 17, 2021","9.27","9.91","10.14","9.19","131.99M","-4.83%"
"Nov 16, 2021","9.74","11.19","11.40","9.74","141.03M","-12.65%"
"Nov 12, 2021","11.15","12.65","12.78","11.15","142.72M","-18.32%"
"Nov 11, 2021","13.65","13.30","14.26","13.12","65.76M","4.84%"
"Nov 10, 2021","13.02","13.20","13.54","12.82","60.78M","-0.84%"
"Nov 09, 2021","13.13","12.05","13.80","12.05","67.27M","10.06%"
"Nov 08, 2021","11.93","12.31","12.66","11.87","47.18M","-4.10%"
"Nov 05, 2021","12.44","11.22","12.62","11.16","65.63M","12.27%"
"Nov 04, 2021","11.08","11.50","11.82","10.93","33.90M","-4.07%"
"Nov 03, 2021","11.55","11.19","11.67","10.99","47.39M","2.21%"
"Nov 01, 2021","11.30","10.87","11.43","10.86","31.10M","4.53%"
"Oct 29, 2021","10.81","11.24","11.36","10.73","41.21M","-3.05%"
"Oct 28, 2021","11.15","11.49","11.76","11.07","41.94M","-3.88%"
"Oct 27, 2021","11.60","12.07","12.43","11.54","41.36M","-3.17%"
"Oct 26, 2021","11.98","12.29","12.35","11.73","37.00M","-2.92%"
"Oct 25, 2021","12.34","12.49","12.83","12.27","34.67M","-0.64%"
"Oct 22, 2021","12.42","12.35","12.95","11.86","69.14M","0.08%"
"Oct 21, 2021","12.41","12.89","13.20","12.28","68.75M","-6.34%"
"Oct 20, 2021","13.25","13.84","13.89","13.13","60.14M","-3.50%"
"Oct 19, 2021","13.73","14.11","14.28","13.59","35.83M","-3.85%"
"Oct 18, 2021","14.28","14.39","14.44","14.02","38.84M","-1.92%"
"Oct 15, 2021","14.56","14.21","14.65","14.10","22.89M","2.75%"
"Oct 14, 2021","14.17","14.60","14.63","14.10","25.82M","-2.28%"
"Oct 13, 2021","14.50","14.42","14.65","14.29","29.67M","0.83%"
